analysis_scope,pair,rna_metric,flow_metric,n_rows,n_participants,spearman_rho,permutation_p_two_sided,bh_fdr_within_all_pair_metric_family,permutation_null_median,permutation_null_q025,permutation_null_q975,n_permutations,claim_boundary,panel,rna_metric_label,abs_rho,source_table
Sepsis-only matched raw FCS all-pair marker null,CD8/CD38,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.01219512195121951,0.9404119176164768,0.963348793655903,0.01810506566604127,-0.301468105065666,0.30078799249530963,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.01219512195121951,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD39,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.5874296435272045,1.999600079984e-4,0.01079784043191361,-0.00309568480300187,-0.29832082551594746,0.34417917448405255,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.5874296435272045,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD45RA,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.3611632270168856,0.02339532093581283,0.08176910072530948,-0.0099437148217636,-0.2849812382739212,0.2846341463414635,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.3611632270168856,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD45RO,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.43602251407129455,0.0061987602479504,0.03779244151169766,-0.00722326454033771,-0.29953095684803,0.32085365853658543,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.43602251407129455,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD57,mhcii_cd74_axis,raw_fcs_abundance_normalized,39,34,0.08867155358917449,0.5738852229554089,0.7157021054805432,0.00643112366690716,-0.31436501779054365,0.26394890589269876,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.08867155358917449,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD66,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.5156689901263426,5.998800239952e-4,0.01799640071985602,0.00722462013095494,-0.34001689470867047,0.32895009023534416,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.5156689901263426,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD69,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.29924953095684803,0.05698860227954409,0.1517020539554061,-0.00281425891181988,-0.2868105065666041,0.2856519699812383,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.29924953095684803,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CTLA4,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.42420262664165104,0.00699860027994401,0.03943559114264104,0.01876172607879925,-0.30045966228893056,0.3150562851782365,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.42420262664165104,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CX3CR1,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.04587457202851485,0.7686462707458508,0.8570746027785593,-0.01083540504967988,-0.37651859884753447,0.314107134826532,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.04587457202851485,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/PD1,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.23602251407129457,0.13957208558288342,0.28074385122975404,0.03292682926829268,-0.3569652908067542,0.31155253283302065,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.23602251407129457,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CCR7,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.28086303939962476,0.07678464307138572,0.18847139662976495,0.03930581613508442,-0.2568621013133208,0.3070075046904316,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.28086303939962476,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD103,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.49831144465290805,0.0015996800639872,0.02159568086382723,-0.01454033771106941,-0.30279549718574106,0.30400093808630396,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.49831144465290805,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD123,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.38855534709193246,0.01079784043191361,0.05038992201559688,0.01613508442776735,-0.30109756097560975,0.2834427767354597,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.38855534709193246,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD141,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.20806754221388368,0.1975604879024195,0.36076263008267906,0.00919324577861163,-0.2767542213883677,0.292265478424015,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.20806754221388368,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD161,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.275046904315197,0.08518296340731854,0.2025104413079649,-0.0099437148217636,-0.27534709193245777,0.29471388367729845,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.275046904315197,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD25,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.11219512195121951,0.486502699460108,0.6498163264873527,0.0099437148217636,-0.2573030018761726,0.2913742964352721,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.11219512195121951,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD27,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.27054409005628516,0.08498300339932013,0.2025104413079649,0.01031894934333958,-0.26612101313320824,0.3082457786116324,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.27054409005628516,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD28,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.20187617260787993,0.20995800839832032,0.3743590904460617,0.02270168855534709,-0.2864821763602251,0.29153377110694195,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.20187617260787993,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CTLA4/CD39,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.0624765478424015,0.6948610277944411,0.8157064239326048,-0.00816135084427767,-0.3295919324577861,0.2996341463414634,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.0624765478424015,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
