reference_number,category,authors,title,journal,year,doi,pmid,pubmed_url,verification_status
30,reproducibility,"Sandve GK, Nekrutenko A, Taylor J, Hovig E",Ten simple rules for reproducible computational research.,PLoS Computational Biology,2013,10.1371/journal.pcbi.1003285,24204232.0,https://pubmed.ncbi.nlm.nih.gov/24204232/,PubMed_or_DOI_checked
31,permutation,"Phipson B, Smyth GK",Permutation p-values should never be zero: calculating exact p-values when permutations are randomly drawn.,Statistical Applications in Genetics and Molecular Biology,2010,10.2202/1544-6115.1585,21044043.0,https://pubmed.ncbi.nlm.nih.gov/21044043/,PubMed_or_DOI_checked
32,FDR,"Storey JD, Tibshirani R",Statistical significance for genomewide studies.,Proceedings of the National Academy of Sciences of the United States of America,2003,10.1073/pnas.1530509100,12883005.0,https://pubmed.ncbi.nlm.nih.gov/12883005/,PubMed_or_DOI_checked
33,immune checkpoint context,"Nakamori Y, Park EJ, Shimaoka M",Immune deregulation in sepsis and septic shock: reversing immune paralysis by targeting PD-1/PD-L1 pathway.,Frontiers in Immunology,2020,10.3389/fimmu.2020.624279,33679715.0,https://pubmed.ncbi.nlm.nih.gov/33679715/,PubMed_or_DOI_checked
34,immunotherapy context,"Leventogiannis K, Kyriazopoulou E, Antonakos N, Kotsaki A, Tsangaris I, Markopoulou D, et al.",Toward personalized immunotherapy in sepsis: the PROVIDE randomized clinical trial.,Cell Reports Medicine,2022,10.1016/j.xcrm.2022.100817,36384100.0,https://pubmed.ncbi.nlm.nih.gov/36384100/,PubMed_or_DOI_checked
35,immune checkpoint context,"Chen Y, Guo DZ, Zhu CL, Ren SC, Sun CY, Wang Y, et al.",The implication of targeting PD-1:PD-L1 pathway in treating sepsis through immunostimulatory and anti-inflammatory pathways.,Frontiers in Immunology,2023,10.3389/fimmu.2023.1323797,38193090.0,https://pubmed.ncbi.nlm.nih.gov/38193090/,PubMed_or_DOI_checked
36,multi-omics reproducibility,"Krassowski M, Das V, Sahu SK, Misra BB",State of the field in multi-omics research: from computational needs to data mining and sharing.,Frontiers in Genetics,2020,10.3389/fgene.2020.610798,33362867.0,https://pubmed.ncbi.nlm.nih.gov/33362867/,PubMed_or_DOI_checked
37,multi-omics context,Ahmed Z,"Multi-omics strategies for personalized and predictive medicine: past, current, and future translational opportunities.",Emerging Topics in Life Sciences,2022,10.1042/ETLS20210244,35234253.0,https://pubmed.ncbi.nlm.nih.gov/35234253/,PubMed_or_DOI_checked
38,MHC-II biology,"Roche PA, Furuta K",The ins and outs of MHC class II-mediated antigen processing and presentation.,Nature Reviews Immunology,2015,10.1038/nri3818,25720354.0,https://pubmed.ncbi.nlm.nih.gov/25720354/,PubMed_or_DOI_checked
39,MHC systems biology,"Neefjes J, Jongsma ML, Paul P, Bakke O",Towards a systems understanding of MHC class I and MHC class II antigen presentation.,Nature Reviews Immunology,2011,10.1038/nri3084,22076556.0,https://pubmed.ncbi.nlm.nih.gov/22076556/,PubMed_or_DOI_checked
40,gene-set scoring,"Subramanian A, Tamayo P, Mootha VK, Mukherjee S, Ebert BL, Gillette MA, et al.",Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles.,Proceedings of the National Academy of Sciences of the United States of America,2005,10.1073/pnas.0506580102,16199517.0,https://pubmed.ncbi.nlm.nih.gov/16199517/,PubMed_or_DOI_checked
41,gene-set scoring,"Bhuva DD, Foroutan M, Xie Y, Lyu R, Cursons J, Davis MJ",Using singscore to predict mutation status in acute myeloid leukemia from transcriptomic signatures.,F1000Research,2019,10.12688/f1000research.19236.3,31723419.0,https://pubmed.ncbi.nlm.nih.gov/31723419/,PubMed_or_DOI_checked
42,deconvolution,"Newman AM, Liu CL, Green MR, Gentles AJ, Feng W, Xu Y, et al.",Robust enumeration of cell subsets from tissue expression profiles.,Nature Methods,2015,10.1038/nmeth.3337,25822800.0,https://pubmed.ncbi.nlm.nih.gov/25822800/,PubMed_or_DOI_checked
43,deconvolution,"Wang X, Park J, Susztak K, Zhang NR, Li M",Bulk tissue cell type deconvolution with multi-subject single-cell expression reference.,Nature Communications,2019,10.1038/s41467-018-08023-x,30670690.0,https://pubmed.ncbi.nlm.nih.gov/30670690/,PubMed_or_DOI_checked
44,multiple testing,"Benjamini Y, Hochberg Y",Controlling the false discovery rate: a practical and powerful approach to multiple testing.,Journal of the Royal Statistical Society Series B,1995,10.1111/j.2517-6161.1995.tb02031.x,,,DOI_checked_manual_classic_reference
45,rank correlation,Spearman C,The proof and measurement of association between two things.,International Journal of Epidemiology,2010,10.1093/ije/dyq191,21051364.0,https://pubmed.ncbi.nlm.nih.gov/21051364/,PubMed_or_DOI_checked
46,bootstrap,"Efron B, Tibshirani RJ",An Introduction to the Bootstrap.,Chapman and Hall/CRC,1993,10.1201/9780429246593,,,DOI_checked_manual_classic_reference
