RNASeq_sample_ID,six_gene_panel,mhcii_cd74_axis,hla_dr_core,myeloid_inflammatory,immunometabolic_stress,adaptive_t_cell_context,base_participant_timepoint_id,rna_decoupling_index_six_minus_mhcii,rna_decoupling_index_myeloid_minus_mhcii
N00039-Ja001T-TRGa,0.2645581296013047,0.172740775617681,-0.1741149785487249,-0.6088858757728463,0.0309690986795812,-0.0620906794143834,N00039-Ja001,0.0918173539836236,-0.7816266513905273
N00044-Ja001T-TRGa,1.4369217733415265,-2.8238960258050194,-2.8161935555689883,0.3025907375438157,1.389112508097829,-2.0872335398913404,N00044-Ja001,4.260817799146546,3.126486763348835
N00013-Ja005T-TRGa,0.0232339699459793,-0.0280065652650858,-0.1088811436024715,0.4180373108017001,0.3460024717972577,-0.3364430594828053,N00013-Ja005,0.0512405352110652,0.446043876066786
N00050-Ja001T-TRGa,1.872427728357683,-0.8336260487184325,-0.7322843415030663,-0.3219334071998391,1.4770197914947083,-0.8624046138698834,N00050-Ja001,2.7060537770761153,0.5116926415185934
N00056-Ja001T-TRGa,1.5018583188765564,-1.4005398360326362,-1.3189416445059468,0.7545066879071324,1.5627452728744682,-1.730013770720575,N00056-Ja001,2.902398154909193,2.1550465239397685
N00003-Ja001T-TRGa,1.0692917170757372,-1.4367397689414776,-1.3701770466133232,0.4261819046559718,0.8660915986865049,-1.0736119187465307,N00003-Ja001,2.506031486017215,1.8629216735974496
N00028-Ja005T-TRGa,-0.1344878695639895,-0.3066102348666252,-0.2203819168083426,-0.3361362782515589,0.0654301585104328,-0.3369362216317725,N00028-Ja005,0.1721223653026356,-0.0295260433849337
N00001-Ja003T-TRGa,0.6457822231945595,-0.6123383078984797,-0.6386479980105481,0.7658012303852529,0.3050015944157741,-0.7273976594117694,N00001-Ja003,1.2581205310930392,1.3781395382837327
N00004-Ja001T-TRGa,1.2465950146740694,-1.9752426684826776,-1.5786922223570017,-0.4148837944586574,1.7499768152449058,-2.9561631299114617,N00004-Ja001,3.221837683156747,1.56035887402402
N00006-Ja001T-TRGa,-0.5787290554837239,0.139386574800536,0.3489738641013831,-0.2007250499399778,-0.6318389531920955,0.8137618953317615,N00006-Ja001,-0.71811563028426,-0.3401116247405139
N00007-Ja003T-TRGa,0.2181334212503187,-0.514087918220284,-0.7884141234672067,-0.1358634913945235,-0.2363194653720476,-0.2974796105461876,N00007-Ja003,0.7322213394706028,0.3782244268257604
N00008-Ja001T-TRGa,1.348492756866385,-1.3112245634259752,-1.292440020173968,1.3173719997622884,2.3657616284195315,-1.8583671424424355,N00008-Ja001,2.6597173202923603,2.6285965631882635
N00009-Ja001T-TRGa,1.639557694510293,-0.9193498589569056,-0.3029409627774659,1.102313899917822,1.5754190724361945,-1.335562412423366,N00009-Ja001,2.558907553467199,2.0216637588747277
N00010-Ja001T-TRGa,0.9802053033231038,-2.3217081064265965,-2.018703166212676,0.9714358360900311,1.6475873824929828,-1.7427643512638555,N00010-Ja001,3.3019134097497003,3.293143942516628
N00014-Ja001T-TRGa,1.1124213674056125,-0.9088642195939468,-0.9571521265519716,0.703825203947559,1.1676816596983133,-1.3556759760361463,N00014-Ja001,2.021285586999559,1.6126894235415057
N00015-Ja001T-TRGa,2.136190351537832,-1.2083457304988343,-1.1896205688017645,0.3825726355666496,1.4405999587153406,-1.4121744668466054,N00015-Ja001,3.344536082036667,1.5909183660654842
N00016-Ja001T-TRGa,0.2508522684113766,0.5558808682087104,0.8464806464866824,0.4455520423020703,0.3668775219575179,-0.1376750325077093,N00016-Ja001,-0.3050285997973338,-0.11032882590664
