analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,cd3_cd14_hmean_enrichment_exclusive,129,0.0443873715227984,0.6225215833254897,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.7114532380862739,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,double_event_hla_dr_pos_fraction,128,-0.1210731225566083,0.181125922576111,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.2898014761217776,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,double_event_cd33_pos_fraction,128,-0.1661190971159612,0.0665285996607268,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1443332331622549,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,double_event_cd11c_pos_fraction,128,-0.1522068525953266,0.0927280276818781,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1812089701264182,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,double_event_cd16_pos_fraction,128,-0.1312859730139634,0.1470303651090208,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.2613873157493704,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,double_event_cd38_pos_fraction,128,-0.1873566410986828,0.0385065281977513,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0947853001790801,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,cd3_cd14_double_fraction,129,-0.1957154099062653,0.0299622620196704,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0798993653857878,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,129,0.3578631922930927,7.220674885091515e-05,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0006161642568611,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,cd3_cd14_hmean_enrichment_exclusive,129,0.1009901199574683,0.2626990127981716,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.379948854668542,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,double_event_hla_dr_pos_fraction,128,0.1184585422851233,0.1907317858858437,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.3014033159677531,exploratory
