analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_hmean_enrichment_exclusive,121,-0.0798198076141444,0.3819101567942299,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.5065751302555589,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_hla_dr_pos_fraction,120,0.129298038399525,0.1583994503081392,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.2721493911334472,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd33_pos_fraction,120,0.2202949592677179,0.0162552168061805,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.0558334704820218,supporting_if_replicated
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd11c_pos_fraction,120,0.041253728556953,0.6526923793705617,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.7328475838546658,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd16_pos_fraction,120,-0.0715785639987831,0.4349025174321131,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.5571038823942349,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd38_pos_fraction,120,0.2171022366509593,0.017869759034944,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.060192872538759,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,six_gene_panel,cd3_cd14_double_fraction,40,-0.2052532833020638,0.1999105884263015,Sepsis,0.3101643068917163,exploratory
sepsis_only_unadjusted,spearman_rank,six_gene_panel,cd3_cd14_abundance_normalized,40,0.3180112570356473,0.047035582049839,Sepsis,0.1104688899519154,exploratory
sepsis_only_unadjusted,spearman_rank,six_gene_panel,cd3_cd14_hmean_enrichment_exclusive,40,0.0966228893058161,0.5462361374444202,Sepsis,0.6565091604965801,exploratory
sepsis_only_unadjusted,spearman_rank,six_gene_panel,double_event_hla_dr_pos_fraction,40,0.1436438436203041,0.3696892940999393,Sepsis,0.4954997868564631,exploratory
sepsis_only_unadjusted,spearman_rank,six_gene_panel,double_event_cd33_pos_fraction,40,0.4249621989590252,0.0079570213357586,Sepsis,0.0351206458957624,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,six_gene_panel,double_event_cd11c_pos_fraction,40,0.1227613674067248,0.443292913679503,Sepsis,0.5571038823942349,exploratory
sepsis_only_unadjusted,spearman_rank,six_gene_panel,double_event_cd16_pos_fraction,40,0.3555727781588203,0.0263813682436342,Sepsis,0.072619680326563,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,six_gene_panel,double_event_cd38_pos_fraction,40,0.3337712434022211,0.0371237299526916,Sepsis,0.0925338730712755,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,cd3_cd14_double_fraction,40,0.2697936210131332,0.0920154652686212,Sepsis,0.1812089701264182,exploratory
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,cd3_cd14_abundance_normalized,40,-0.5165103189493434,0.0012570631711743,Sepsis,0.0078489798005032,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,cd3_cd14_hmean_enrichment_exclusive,40,-0.1889305816135084,0.2380514841253738,Sepsis,0.3563811692169339,exploratory
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_hla_dr_pos_fraction,40,-0.1588830726094915,0.3210880380387161,Sepsis,0.4419276222468351,exploratory
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd33_pos_fraction,40,-0.3070427235386574,0.0551768278971688,Sepsis,0.1261184637649574,exploratory
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd11c_pos_fraction,40,-0.0372549941242029,0.8160274795046616,Sepsis,0.8525288377213411,exploratory
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd16_pos_fraction,40,-0.2503502363251102,0.1179499077773226,Sepsis,0.2220233558161366,exploratory
sepsis_only_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd38_pos_fraction,40,-0.2963310617554721,0.0642290075481577,Sepsis,0.140535264378875,exploratory
sepsis_only_unadjusted,spearman_rank,hla_dr_core,cd3_cd14_double_fraction,40,0.223639774859287,0.1625248801722102,Sepsis,0.2737261139742488,exploratory
sepsis_only_unadjusted,spearman_rank,hla_dr_core,cd3_cd14_abundance_normalized,40,-0.5590994371482176,0.0004801818739504,Sepsis,0.0034146266592032,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,hla_dr_core,cd3_cd14_hmean_enrichment_exclusive,40,-0.2212007504690432,0.1671565455454846,Sepsis,0.2760418025408286,exploratory
sepsis_only_unadjusted,spearman_rank,hla_dr_core,double_event_hla_dr_pos_fraction,40,-0.0565356581635905,0.7240396572332364,Sepsis,0.7913485313831286,exploratory
