RNASeq_sample_ID,six_gene_panel,mhcii_cd74_axis,hla_dr_core,myeloid_inflammatory,immunometabolic_stress,adaptive_t_cell_context,base_participant_timepoint_id,rna_decoupling_index_six_minus_mhcii,rna_decoupling_index_myeloid_minus_mhcii
H00072-Ha001T-TRGa,-1.098208836694784,0.9199703639402064,0.6454911938101338,-0.568853024953143,-1.0701135454966635,0.5169479441749227,H00072-Ha001,-2.0181792006349903,-1.4888233888933495
H00052-Ha001T-TRGa,-1.1413012813985455,1.4286034790567266,1.6171063128041994,-0.6540095061501319,-0.7921302421820057,1.029699523944667,H00052-Ha001,-2.5699047604552723,-2.0826129852068584
H00064-Ha001T-TRGa,-1.2053524188150395,0.44541394373786286,-0.036563513428683025,-0.9732870630977507,-1.352453153790505,0.41971752703759785,H00064-Ha001,-1.6507663625529023,-1.4187010068356136
H00053-Ha001T-TRGa,-1.589308862504607,0.7809876627270971,0.5417855989202873,-1.3546880203283225,-1.5143167377184152,0.9480236426062564,H00053-Ha001,-2.370296525231704,-2.1356756830554193
H00070-Ha001T-TRGa,-1.4163223371664753,1.2443658369133936,1.1150402298618507,-1.2585043343204494,-1.5153094780584906,1.054419216175158,H00070-Ha001,-2.660688174079869,-2.502870171233843
N00023-Ja001T-TRGa,1.6076854406385408,-2.7451299885017573,-2.99569603957768,-0.1630071216664605,1.1470048441461922,-1.8791609307051733,N00023-Ja001,4.352815429140298,2.582122866835297
N00025-Ja001T-TRGa,0.6623962966256859,-0.9019512389549486,-1.0044435755851118,0.5852348148156373,1.1928115116250555,-1.4264488668777715,N00025-Ja001,1.5643475355806344,1.4871860537705859
N00027-Ja001T-TRGa,-0.36724387942613784,0.561523537946487,0.5870843879019966,0.04200709082995392,-0.36022816155830933,-0.3501412936496641,N00027-Ja001,-0.9287674173726248,-0.5195164471165331
N00028-Ja001T-TRGa,0.9458529404541046,-1.0292046424897732,-1.3376330975118684,-0.29827209377981195,0.25575409268099786,-1.7460459233161216,N00028-Ja001,1.9750575829438777,0.7309325487099612
N00029-Ja001T-TRGa,1.4370769349506036,-1.0030057626206643,-0.9253415835617872,0.4109507075000257,0.9388772687564775,-0.9615865627886819,N00029-Ja001,2.4400826975712677,1.4139564701206901
N00029-Ja005T-TRGa,-0.08952290075296282,0.08907942394576508,-0.13798377973607848,-0.14808945855802344,-0.12798836781494463,-0.5928307103586835,N00029-Ja005,-0.1786023246987279,-0.23716888250378854
N00032-Ja001T-TRGa,0.27393338581799825,1.4878665357254024,1.557933183963595,0.5183380270594942,0.37320026402999223,0.36370078205647166,N00032-Ja001,-1.2139331499074042,-0.9695285086659082
N00033-Ja001T-TRGa,0.7105039525352809,-0.2870494293382953,-0.7089228726030844,0.9410982670140842,0.6976567452299981,-0.2407626465937945,N00033-Ja001,0.9975533818735762,1.2281476963523794
N00034-Ja001T-TRGa,1.5889187925513966,-1.4995315211582663,-1.591549678428768,0.4414349766547676,1.4541381050620843,-1.7525105799360365,N00034-Ja001,3.0884503137096626,1.9409664978130339
N00037-Ja003T-TRGa,0.36090248373571354,-1.30403812802832,-1.2095709321273729,0.5101434783942689,0.7583153545286188,-0.5423699101070318,N00037-Ja003,1.6649406117640335,1.8141816064225889
N00038-Ja001T-TRGa,0.4254080830207741,0.7466060084735531,0.6996203027727139,0.4673496377076788,0.34313170866479376,0.02745841971140035,N00038-Ja001,-0.321197925452779,-0.2792563707658743
N00047-Ja005T-TRGa,0.7477825994464652,-0.9803034222105517,-0.6131591336249456,0.27781596481982296,-0.21887409050954057,-0.8004933202627358,N00047-Ja005,1.7280860216570169,1.2581193870303746
N00048-Ja001T-TRGa,1.0240940219835488,0.17621804166646254,0.30034685677588824,0.5960662533645047,0.9229632087095331,-0.5404830847404916,N00048-Ja001,0.8478759803170863,0.41984821169804215
N00035-Ja001T-TRGa,0.4168247434587844,-0.2183193936571434,-0.0718381366688511,0.7040116719234963,0.9058319157279826,-0.097876113563529,N00035-Ja001,0.6351441371159278,0.9223310655806397
N00036-Ja001T-TRGa,-0.06364649668670556,0.38569463473546234,0.07256578547297887,0.34223783703284,-0.04018356594297601,0.18642069405699896,N00036-Ja001,-0.4493411314221679,-0.04345679770262234
N00039-Ja001T-TRGa,0.2645581296013047,0.17274077561768106,-0.17411497854872496,-0.6088858757728463,0.030969098679581208,-0.06209067941438345,N00039-Ja001,0.09181735398362365,-0.7816266513905273
N00044-Ja001T-TRGa,1.4369217733415265,-2.8238960258050194,-2.8161935555689883,0.30259073754381577,1.389112508097829,-2.0872335398913404,N00044-Ja001,4.260817799146546,3.126486763348835
N00013-Ja005T-TRGa,0.02323396994597937,-0.02800656526508589,-0.10888114360247157,0.41803731080170015,0.3460024717972577,-0.3364430594828053,N00013-Ja005,0.051240535211065266,0.446043876066786
N00050-Ja001T-TRGa,1.872427728357683,-0.8336260487184325,-0.7322843415030663,-0.3219334071998391,1.4770197914947083,-0.8624046138698834,N00050-Ja001,2.7060537770761153,0.5116926415185934
N00056-Ja001T-TRGa,1.5018583188765564,-1.4005398360326362,-1.3189416445059468,0.7545066879071324,1.5627452728744682,-1.730013770720575,N00056-Ja001,2.902398154909193,2.1550465239397685
N00003-Ja001T-TRGa,1.0692917170757372,-1.4367397689414776,-1.3701770466133232,0.4261819046559718,0.8660915986865049,-1.0736119187465307,N00003-Ja001,2.506031486017215,1.8629216735974494
N00028-Ja005T-TRGa,-0.13448786956398956,-0.3066102348666252,-0.22038191680834265,-0.33613627825155895,0.06543015851043285,-0.33693622163177256,N00028-Ja005,0.17212236530263564,-0.029526043384933753
