accession,gsm_id,immune_state,PC1_immune_decoupling_gradient,PC2,PC3
GSE32707,GSM812622,Decoupled inflammatory / MHC-II-low,0.7288785919000926,-0.0035928965318851,0.4740455881194976
GSE32707,GSM812631,Decoupled inflammatory / MHC-II-low,0.9011450417322424,0.7305821305481356,-0.406273371424934
GSE32707,GSM812638,Decoupled inflammatory / MHC-II-low,1.5866134733949713,-1.601834913710161,0.0606699163567764
GSE32707,GSM812647,Decoupled inflammatory / MHC-II-low,0.8330228297135203,0.7435604808769544,-0.5722459424519408
GSE32707,GSM812649,Decoupled inflammatory / MHC-II-low,1.3636104069305104,1.1505538912418156,-0.0614828092121234
GSE32707,GSM812651,Decoupled inflammatory / MHC-II-low,3.0471854895458494,0.2498012029482876,-0.3437186556482595
GSE32707,GSM812660,Decoupled inflammatory / MHC-II-low,0.9580909368334664,-0.1362934054807927,-0.4460435039352045
GSE32707,GSM812662,Decoupled inflammatory / MHC-II-low,1.003735939820288,-0.2045470577014543,-0.3796414073229497
GSE32707,GSM812664,Decoupled inflammatory / MHC-II-low,2.9369412449984766,1.3252199895917938,-0.5866427191012686
GSE32707,GSM812673,Decoupled inflammatory / MHC-II-low,1.4698236322056282,-0.5840147113943891,0.0453999577632641
GSE32707,GSM812674,Decoupled inflammatory / MHC-II-low,1.330362871529064,-0.6407402599256935,0.1983891164270886
GSE32707,GSM812700,Decoupled inflammatory / MHC-II-low,1.3134832075848406,1.327958636488752,-0.7137726421032463
GSE32707,GSM812712,Decoupled inflammatory / MHC-II-low,0.6523323420570594,-0.7929849529762709,-0.0627386609118884
GSE32707,GSM812739,Decoupled inflammatory / MHC-II-low,0.4406330593806144,1.4791645869360224,1.7385338790482818
GSE69063,GSM1691731,Decoupled inflammatory / MHC-II-low,3.910987710363023,-0.3283859514831444,-0.4338234850075234
GSE69063,GSM1691736,Decoupled inflammatory / MHC-II-low,2.4663035689961883,0.647612739276147,-0.1219220141874658
GSE69063,GSM1691753,Decoupled inflammatory / MHC-II-low,3.4415241162027392,0.8607353300165106,2.490907405963656
GSE69063,GSM1691755,Decoupled inflammatory / MHC-II-low,1.303819147592598,0.4004475337065558,1.9964052847581657
GSE69063,GSM1691758,Decoupled inflammatory / MHC-II-low,3.0784446229870412,0.9078993961267988,-1.0177497570127465
GSE69063,GSM1691761,Decoupled inflammatory / MHC-II-low,1.5355375676271588,-0.17112667176198,-0.5658859090778403
GSE69063,GSM1691764,Decoupled inflammatory / MHC-II-low,1.0189716326920832,1.4728566030176664,0.391385555047755
GSE69063,GSM1691766,Decoupled inflammatory / MHC-II-low,3.7875711916610335,-0.0943570757188325,1.149246234295264
GSE69063,GSM1691772,Decoupled inflammatory / MHC-II-low,1.4017849061712286,0.5131549250392854,0.3039633932669491
GSE69063,GSM1691778,Decoupled inflammatory / MHC-II-low,1.882107781943821,-0.1190170266202072,-0.8492944828333274
GSE69063,GSM1691781,Decoupled inflammatory / MHC-II-low,2.8845712515429773,-0.555443389565028,0.1795940919552957
GSE69063,GSM1691787,Decoupled inflammatory / MHC-II-low,0.8996589454835162,0.0559603171536173,-0.2906763247930221
GSE69063,GSM1691790,Decoupled inflammatory / MHC-II-low,1.1489093793730991,0.3579397690122989,0.1176014098734947
GSE28750,GSM712480,Decoupled inflammatory / MHC-II-low,1.5720793009116596,-0.0772220528173466,0.4448895498514341
